city,agri_region,crop,crop_role_hint,area_ha,as_of_year,source_provinces_summed,source
Dien Bien,Northern Mountains,cassava,secondary,16834,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dien Bien,Northern Mountains,groundnut,secondary,1047,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dien Bien,Northern Mountains,sweet_potato,secondary,361,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dien Bien,Northern Mountains,sugarcane,secondary,84,2024,Điện Biên (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dien Bien,Northern Mountains,coffee,secondary,,,,"Cà phê KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 (chỉ tổng quốc gia, bảng 236) -> area_ha NULL; giữ làm cây phụ vì hiện diện thực tế (Arabica Tây Bắc / Robusta Tây Nguyên)."
Dien Bien,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Son La,Northern Mountains,maize,primary,74400,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Son La,Northern Mountains,rice,secondary,46500,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Son La,Northern Mountains,cassava,secondary,44176,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Son La,Northern Mountains,sugarcane,secondary,10136,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Son La,Northern Mountains,groundnut,secondary,1094,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Son La,Northern Mountains,sweet_potato,secondary,253,2024,Sơn La (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Son La,Northern Mountains,coffee,secondary,,,,"Cà phê KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 (chỉ tổng quốc gia, bảng 236) -> area_ha NULL; giữ làm cây phụ vì hiện diện thực tế (Arabica Tây Bắc / Robusta Tây Nguyên)."
Son La,Northern Mountains,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Thanh Hoa,North Central Coast,rice,primary,225800,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Thanh Hoa,North Central Coast,maize,secondary,38500,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Thanh Hoa,North Central Coast,sugarcane,secondary,14638,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Thanh Hoa,North Central Coast,cassava,secondary,14358,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Thanh Hoa,North Central Coast,groundnut,secondary,8168,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Thanh Hoa,North Central Coast,sweet_potato,secondary,4982,2024,Thanh Hóa (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Thanh Hoa,North Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Nghe An,North Central Coast,rice,primary,168100,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Nghe An,North Central Coast,maize,secondary,46200,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Nghe An,North Central Coast,sugarcane,secondary,22641,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Nghe An,North Central Coast,cassava,secondary,12466,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Nghe An,North Central Coast,groundnut,secondary,9457,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Nghe An,North Central Coast,sweet_potato,secondary,3255,2024,Nghệ An (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Nghe An,North Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Ha Tinh,North Central Coast,rice,primary,104400,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ha Tinh,North Central Coast,maize,secondary,14400,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ha Tinh,North Central Coast,groundnut,secondary,6981,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Ha Tinh,North Central Coast,sweet_potato,secondary,3380,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ha Tinh,North Central Coast,cassava,secondary,2482,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Ha Tinh,North Central Coast,sugarcane,secondary,140,2024,Hà Tĩnh (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Ha Tinh,North Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Quang Tri,North Central Coast,rice,primary,104000,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Tri,North Central Coast,cassava,secondary,20086,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Quang Tri,North Central Coast,maize,secondary,8800,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Tri,North Central Coast,groundnut,secondary,6080,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Quang Tri,North Central Coast,sweet_potato,secondary,4046,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Tri,North Central Coast,sugarcane,secondary,215,2024,Quảng Trị + Quảng Bình,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Tri,North Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Quang Ngai,South Central Coast,rice,primary,96700,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Ngai,South Central Coast,cassava,secondary,53113,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Quang Ngai,South Central Coast,maize,secondary,14300,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Quang Ngai,South Central Coast,groundnut,secondary,6473,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Quang Ngai,South Central Coast,sugarcane,secondary,1719,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Ngai,South Central Coast,sweet_potato,secondary,1026,2024,Quảng Ngãi + Kon Tum,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Quang Ngai,South Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Gia Lai,Central Highlands,rice,primary,167300,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Gia Lai,Central Highlands,cassava,secondary,86621,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Gia Lai,Central Highlands,maize,secondary,46300,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Gia Lai,Central Highlands,sugarcane,secondary,43662,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Gia Lai,Central Highlands,groundnut,secondary,14219,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Gia Lai,Central Highlands,sweet_potato,secondary,7874,2024,Gia Lai + Bình Định,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Gia Lai,Central Highlands,coffee,secondary,,,,"Cà phê KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 (chỉ tổng quốc gia, bảng 236) -> area_ha NULL; giữ làm cây phụ vì hiện diện thực tế (Arabica Tây Bắc / Robusta Tây Nguyên)."
Gia Lai,Central Highlands,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Khanh Hoa,South Central Coast,rice,primary,90300,2024,Khánh Hòa + Ninh Thuận,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Khanh Hoa,South Central Coast,maize,secondary,16500,2024,Khánh Hòa + Ninh Thuận,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Khanh Hoa,South Central Coast,sugarcane,secondary,10137,2024,Khánh Hòa + Ninh Thuận,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Khanh Hoa,South Central Coast,cassava,secondary,2597,2024,Khánh Hòa,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Khanh Hoa,South Central Coast,groundnut,secondary,1122,2024,Khánh Hòa + Ninh Thuận,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Khanh Hoa,South Central Coast,sweet_potato,secondary,313,2024,Khánh Hòa + Ninh Thuận,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Khanh Hoa,South Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Lam Dong,Central Highlands,rice,primary,165300,2024,Lâm Đồng + Đắk Nông + Bình Thuận,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lam Dong,Central Highlands,maize,secondary,59000,2024,Lâm Đồng + Đắk Nông + Bình Thuận,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Lam Dong,Central Highlands,cassava,secondary,29357,2024,Đắk Nông + Bình Thuận,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lam Dong,Central Highlands,groundnut,secondary,8849,2024,Lâm Đồng + Đắk Nông + Bình Thuận,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Lam Dong,Central Highlands,sweet_potato,secondary,8680,2024,Lâm Đồng + Đắk Nông + Bình Thuận,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lam Dong,Central Highlands,sugarcane,secondary,1017,2024,Lâm Đồng + Đắk Nông + Bình Thuận,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Lam Dong,Central Highlands,coffee,secondary,,,,"Cà phê KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 (chỉ tổng quốc gia, bảng 236) -> area_ha NULL; giữ làm cây phụ vì hiện diện thực tế (Arabica Tây Bắc / Robusta Tây Nguyên)."
Lam Dong,Central Highlands,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Dak Lak,Central Highlands,rice,primary,172600,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dak Lak,Central Highlands,maize,secondary,82200,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dak Lak,Central Highlands,cassava,secondary,65957,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dak Lak,Central Highlands,sugarcane,secondary,43502,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dak Lak,Central Highlands,sweet_potato,secondary,5939,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dak Lak,Central Highlands,groundnut,secondary,5473,2024,Đắk Lắk + Phú Yên,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dak Lak,Central Highlands,coffee,secondary,,,,"Cà phê KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 (chỉ tổng quốc gia, bảng 236) -> area_ha NULL; giữ làm cây phụ vì hiện diện thực tế (Arabica Tây Bắc / Robusta Tây Nguyên)."
Dak Lak,Central Highlands,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Dong Nai,Southeast,rice,primary,61700,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dong Nai,Southeast,maize,secondary,36400,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dong Nai,Southeast,cassava,secondary,22815,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dong Nai,Southeast,sugarcane,secondary,3026,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dong Nai,Southeast,groundnut,secondary,1082,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dong Nai,Southeast,sweet_potato,secondary,436,2024,Đồng Nai + Bình Phước,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dong Nai,Southeast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Tay Ninh,Southeast,rice,primary,688900,2024,Tây Ninh + Long An,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Tay Ninh,Southeast,cassava,secondary,62660,2024,Tây Ninh + Long An,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Tay Ninh,Southeast,sugarcane,secondary,7749,2024,Tây Ninh + Long An,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Tay Ninh,Southeast,maize,secondary,5800,2024,Tây Ninh + Long An,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Tay Ninh,Southeast,groundnut,secondary,3134,2024,Tây Ninh + Long An,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Tay Ninh,Southeast,sweet_potato,secondary,55,2024,Tây Ninh + Long An,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Tay Ninh,Southeast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Vinh Long,Mekong Delta,rice,primary,327200,2024,Vĩnh Long + Bến Tre + Trà Vinh,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Vinh Long,Mekong Delta,maize,secondary,5400,2024,Vĩnh Long + Bến Tre + Trà Vinh,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Vinh Long,Mekong Delta,groundnut,secondary,4384,2024,Vĩnh Long + Bến Tre + Trà Vinh,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Vinh Long,Mekong Delta,sweet_potato,secondary,2627,2024,Vĩnh Long + Bến Tre + Trà Vinh,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Vinh Long,Mekong Delta,sugarcane,secondary,1704,2024,Vĩnh Long + Bến Tre + Trà Vinh,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Vinh Long,Mekong Delta,cassava,secondary,174,2024,Vĩnh Long,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Vinh Long,Mekong Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Dong Thap,Mekong Delta,rice,primary,616200,2024,Đồng Tháp + Tiền Giang,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dong Thap,Mekong Delta,maize,secondary,7300,2024,Đồng Tháp + Tiền Giang,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Dong Thap,Mekong Delta,sweet_potato,secondary,763,2024,Đồng Tháp + Tiền Giang,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dong Thap,Mekong Delta,groundnut,secondary,246,2024,Đồng Tháp + Tiền Giang,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Dong Thap,Mekong Delta,sugarcane,secondary,127,2024,Đồng Tháp + Tiền Giang,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Dong Thap,Mekong Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
An Giang,Mekong Delta,rice,primary,1344300,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
An Giang,Mekong Delta,maize,secondary,6100,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
An Giang,Mekong Delta,cassava,secondary,1123,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
An Giang,Mekong Delta,sugarcane,secondary,1094,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
An Giang,Mekong Delta,sweet_potato,secondary,1020,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
An Giang,Mekong Delta,groundnut,secondary,294,2024,An Giang + Kiên Giang,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
An Giang,Mekong Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Ca Mau,Mekong Delta,rice,primary,305000,2024,Cà Mau + Bạc Liêu,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Ca Mau,Mekong Delta,maize,secondary,1000,2024,Cà Mau + Bạc Liêu,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
